"tau","Beta","EIS"
0.1,0.177067034878685,-0.519973143897804
0.2,0.200370137474212,-0.319421914253648
0.3,0.081363423713704,-0.116394489119054
0.4,Inf,0.00013312956361904
0.5,0.871325411939575,0.162129381363014
0.6,0.54207781621201,0.279305606283434
0.7,0.377407536644311,0.34890025593498
0.8,0.340367078974691,0.52890242209833
0.9,0.287539191018789,0.783848216943896
