"tau","Beta","EIS"
0.1,1.15580391890285,9.2539743955974
0.2,1.11170393874888,7.63878705706669
0.3,1.07251251860614,6.83411346941934
0.4,1.03829849194142,5.96831304549595
0.5,1.00078602553424,4.98041515831397
0.6,0.951570314077812,4.35656443511207
0.7,0.88468333285675,3.83929088138284
0.8,0.784111150997156,3.29007628559263
0.9,0.629977041092885,2.87603489270084
