"tau","Beta","Beta.SE","EIS","EIS.SE","EIS.Band"
0.1,-1.55640241069967,0,0.428741990329165,0,0
0.2,-1.17136385297211,0,0.508822870759779,0,0
0.3,-0.762017567814828,0,0.543185721711451,0,0
0.4,-0.333086349452268,0,0.524081534009287,0,0
0.5,0.0588191189344528,0,0.982094183037156,0,0
0.6,0.460016650768673,0,0.623410062486746,0,0
0.7,0.899089802111601,0,0.594423312314933,0,0
0.8,1.29726242972412,0,0.542298144695149,0,0
0.9,1.64309315318131,0,0.447945124112923,0,0
